MANDANT,OBJECTCLAS,OBJECTID,CHANGENR,TABNAME,TABKEY,FNAME,CHNGIND,VALUE_OLD,VALUE_NEW
M1,BELEG,M1V367010P51,14890,VBAK,M1V367010,LIFSK,U,ZA,nan
M1,BELEG,M1V403464P51,14912,VBAK,M1V403464,LIFSK,U,ZA,nan
M1,BELEG,M1V403464P12,14929,VBAK,M1V403464,LIFSK,U,ZA,nan
M1,BELEG,M1V302379P2141,14942,VBAK,M1V302379,LIFSK,U,ZA,nan
M1,BELEG,M1V302379P1427,14950,VBAK,M1V302379,LIFSK,U,ZA,nan
M1,BELEG,M1V404513P60,14973,VBAK,M1V404513,LIFSK,U,ZA,nan
M1,BELEG,M1V404512P12,14980,VBAK,M1V404512,LIFSK,U,ZA,nan
M1,BELEG,M1V404387P5007,14987,VBAK,M1V404387,LIFSK,U,ZA,nan
M1,BELEG,M1V403298P70,15019,VBAK,M1V403298,LIFSK,U,ZA,nan
M1,BELEG,M1V403301P3,15027,VBAK,M1V403301,LIFSK,U,ZA,nan
M1,BELEG,M1V403346P3,15040,VBAK,M1V403346,LIFSK,U,ZA,nan
M1,BELEG,M1V402364P12,15048,VBAK,M1V402364,LIFSK,U,ZA,nan
M1,BELEG,M1V403297P270,15055,VBAK,M1V403297,LIFSK,U,ZA,nan
M1,BELEG,M1V403297P170,15062,VBAK,M1V403297,LIFSK,U,ZA,nan
M1,BELEG,M1V403297P80,15069,VBAK,M1V403297,LIFSK,U,ZA,nan
M1,BELEG,M1V403297P320,15076,VBAK,M1V403297,LIFSK,U,ZA,nan
M1,BELEG,M1V403294P12,15084,VBAK,M1V403294,LIFSK,U,ZA,nan
M1,BELEG,M1V405687P3,15120,VBAK,M1V405687,LIFSK,U,ZA,nan
M1,BELEG,M1V405657P3,15142,VBAK,M1V405657,LIFSK,U,ZA,nan
M1,BELEG,M1V302573P18,15150,VBAK,M1V302573,LIFSK,U,ZA,nan
M1,BELEG,M1V405603P865,15157,VBAK,M1V405603,LIFSK,U,ZA,nan
M1,BELEG,M1V405783P18,15165,VBAK,M1V405783,LIFSK,U,ZA,nan
M1,BELEG,M1V405771P3,15172,VBAK,M1V405771,LIFSK,U,ZA,nan
M1,BELEG,M1V405727P150,15215,VBAK,M1V405727,LIFSK,U,ZA,nan
M1,BELEG,M1V302491P36,15270,VBAK,M1V302491,LIFSK,U,ZA,nan
M1,BELEG,M1V404556P70,15286,VBAK,M1V404556,LIFSK,U,ZA,nan
M1,BELEG,M1V405566P12,15316,VBAK,M1V405566,LIFSK,U,ZA,nan
M1,BELEG,M1V405577P36,15341,VBAK,M1V405577,LIFSK,U,ZA,nan
M1,BELEG,M1V399986P18,15361,VBAK,M1V399986,LIFSK,U,ZA,nan
M1,BELEG,M1V302062P3,15368,VBAK,M1V302062,LIFSK,U,ZA,nan
M1,BELEG,M1V399929P3995,15375,VBAK,M1V399929,LIFSK,U,ZA,nan
M1,BELEG,M1V399955P18,15382,VBAK,M1V399955,LIFSK,U,ZA,nan
M1,BELEG,M1V400977P12,15409,VBAK,M1V400977,LIFSK,U,ZA,nan
M1,BELEG,M1V400991P90,15423,VBAK,M1V400991,LIFSK,U,ZA,nan
M1,BELEG,M1V398895P3,15447,VBAK,M1V398895,LIFSK,U,ZA,nan
M1,BELEG,M1V398889P3,15454,VBAK,M1V398889,LIFSK,U,ZA,nan
M1,BELEG,M1V398826P36,15475,VBAK,M1V398826,LIFSK,U,ZA,nan
M1,BELEG,M1V398849P51,15491,VBAK,M1V398849,LIFSK,U,ZA,nan
M1,BELEG,M1V402224P36,15527,VBAK,M1V402224,LIFSK,U,ZA,nan
M1,BELEG,M1V402310P2141,15563,VBAK,M1V402310,LIFSK,U,ZA,nan
M1,BELEG,M1V401123P1427,15605,VBAK,M1V401123,LIFSK,U,ZA,nan
M1,BELEG,M1V302161P36,15646,VBAK,M1V302161,LIFSK,U,ZA,nan
M1,BELEG,M1V401165P4685,15681,VBAK,M1V401165,LIFSK,U,ZA,nan
M1,BELEG,M1V2133P3118,15688,VBAK,M1V2133,LIFSK,U,ZA,nan
M1,BELEG,M1V410973P3,15695,VBAK,M1V410973,LIFSK,U,ZA,nan
M1,BELEG,M1V411040P12,15703,VBAK,M1V411040,LIFSK,U,ZA,nan
M1,BELEG,M1V411085P3,15710,VBAK,M1V411085,LIFSK,U,ZA,nan
M1,BELEG,M1V409951P3,15725,VBAK,M1V409951,LIFSK,U,ZA,nan
M1,BELEG,M1V303003P18,15746,VBAK,M1V303003,LIFSK,U,ZA,nan
M1,BELEG,M1V409930P3,15754,VBAK,M1V409930,LIFSK,U,ZA,nan
M1,BELEG,M1V410031P28,15764,VBAK,M1V410031,LIFSK,U,ZA,nan
M1,BELEG,M1V412210P12,15793,VBAK,M1V412210,LIFSK,U,ZA,nan
M1,BELEG,M1V412249P90,15800,VBAK,M1V412249,LIFSK,U,ZA,nan
M1,BELEG,M1V413243P44,15808,VBAK,M1V413243,LIFSK,U,ZA,nan
M1,BELEG,M1V413189P44,15844,VBAK,M1V413189,LIFSK,U,ZA,nan
M1,BELEG,M1V412059P12,15863,VBAK,M1V412059,LIFSK,U,ZA,nan
M1,BELEG,M1V411214P3,15878,VBAK,M1V411214,LIFSK,U,ZA,nan
M1,BELEG,M1V412180P3,15925,VBAK,M1V412180,LIFSK,U,ZA,nan
M1,BELEG,M1V412116P28,15943,VBAK,M1V412116,LIFSK,U,ZA,nan
M1,BELEG,M1V412127P3,15991,VBAK,M1V412127,LIFSK,U,ZA,nan
M1,BELEG,M1V302795P3,15998,VBAK,M1V302795,LIFSK,U,ZA,nan
M1,BELEG,M1V407713P36,16006,VBAK,M1V407713,LIFSK,U,ZA,nan
M1,BELEG,M1V407694P36,16013,VBAK,M1V407694,LIFSK,U,ZA,nan
M1,BELEG,M1V407662P36,16041,VBAK,M1V407662,LIFSK,U,ZA,nan
M1,BELEG,M1V406863P110,16049,VBAK,M1V406863,LIFSK,U,ZA,nan
M1,BELEG,M1V407816P60,16077,VBAK,M1V407816,LIFSK,U,ZA,nan
M1,BELEG,M1V407807P12,16113,VBAK,M1V407807,LIFSK,U,ZA,nan
M1,BELEG,M1V407755P80,16128,VBAK,M1V407755,LIFSK,U,ZA,nan
M1,BELEG,M1V406682P3,16135,VBAK,M1V406682,LIFSK,U,ZA,nan
M1,BELEG,M1V406652P70,16187,VBAK,M1V406652,LIFSK,U,ZA,nan
